"month","airport","direction","operator","trips","all_trips_month","all_trips_month_operator","airport_share_all_trips_pct","airport_share_operator_trips_pct","avg_fare","avg_distance_miles","avg_duration_min","trips_with_wait","wait_p50","wait_p90","sum_total_fare","sum_miles"
"2025-07-01","LaGuardia","dropoff","Uber",324940,19631947,14133716,1.6552,2.299,62.41,9.375,26.69,303363,228.6,468,20278899.04,3046354.55
"2025-07-01","LaGuardia","pickup","Lyft",107418,19631947,5498231,0.5472,1.9537,69.09,12.028,34.15,107250,282,691,7421898.02,1292060.13
"2025-07-01","LaGuardia","pickup","Uber",303802,19631947,14133716,1.5475,2.1495,75.38,11.632,32.94,303665,319.9,714.2,22900242.3,3533739.63
"2025-07-01","Newark","dropoff","Lyft",33506,19631947,5498231,0.1707,0.6094,104.96,17.601,44.63,29714,229.6,423.5,3516744.41,589741.5
"2025-07-01","Newark","dropoff","Uber",101103,19631947,14133716,0.515,0.7153,110.12,17.245,42.61,91697,243.4,544.2,11133619.42,1743532.66
"2025-08-01","JFK","dropoff","Lyft",110026,19078219,5527913,0.5767,1.9904,74.83,14.061,40.89,100624,251.9,455.5,8232943.98,1547112.09
"2025-08-01","JFK","dropoff","Uber",326183,19078219,13550306,1.7097,2.4072,76.88,13.292,38.85,304715,244.3,509.9,25075970.99,4335560.22
"2025-08-01","JFK","pickup","Lyft",91002,19078219,5527913,0.477,1.6462,89.11,19.04,48.5,90834,188.3,693.4,8108787.07,1732644.36
"2025-08-01","JFK","pickup","Uber",254938,19078219,13550306,1.3363,1.8814,90.92,17.13,43.98,254510,313.5,696.8,23178539.81,4367131.24
"2025-08-01","LaGuardia","dropoff","Lyft",123533,19078219,5527913,0.6475,2.2347,53.29,9.161,26.46,110861,234.7,428.7,6583587.73,1131710.19
"2025-08-01","LaGuardia","dropoff","Uber",316533,19078219,13550306,1.6591,2.336,61.83,9.389,26.4,297318,219.7,436,19571818.77,2971915.07
"2025-08-01","LaGuardia","pickup","Lyft",104899,19078219,5527913,0.5498,1.8976,67.69,12.08,34.62,104726,265.7,618.7,7100644.02,1267156.72
"2025-08-01","LaGuardia","pickup","Uber",298644,19078219,13550306,1.5654,2.204,74.87,11.496,32.65,298227,310.9,700.2,22358829.12,3433067.4
"2025-08-01","Newark","dropoff","Lyft",35398,19078219,5527913,0.1855,0.6404,102.53,17.493,44.04,31643,225.9,411.4,3629418.18,619206.91
"2025-08-01","Newark","dropoff","Uber",98476,19078219,13550306,0.5162,0.7267,111.32,17.039,41.35,89573,223.1,482.4,10962624.52,1677936.48
"2025-08-01","Newark","pickup","Uber",2,19078219,13550306,0,0,44.53,1.43,11.66,0,nan,nan,89.06,2.86
"2025-09-01","JFK","dropoff","Lyft",100787,19423666,5385951,0.5189,1.8713,73.96,13.969,41.02,91004,257,476.2,7454565.24,1407855.56
"2025-09-01","JFK","dropoff","Uber",313226,19423666,14037715,1.6126,2.2313,85.79,14.351,42.69,292912,255.7,534.2,26871885.5,4495068.88
"2025-09-01","JFK","pickup","Lyft",82033,19423666,5385951,0.4223,1.5231,87.96,17.955,48.81,81914,163.7,653.4,7215916.34,1472912.07
"2025-09-01","JFK","pickup","Uber",247867,19423666,14037715,1.2761,1.7657,92.61,17.465,47.47,247478,293.9,654.3,22954680.5,4328947.49
