"month","operator","bucket_order","wait_bucket","trips_with_wait"
"2025-09-01","Uber",1,"0-30 сек",15622
"2025-09-01","Lyft",2,"30-60 сек",30383
"2025-09-01","Uber",2,"30-60 сек",175604
"2025-09-01","Lyft",3,"1-2 мин",458432
"2025-09-01","Uber",3,"1-2 мин",1321806
"2025-09-01","Lyft",4,"2-3 мин",898099
"2025-09-01","Uber",4,"2-3 мин",2645792
"2025-09-01","Lyft",5,"3-4 мин",1079630
"2025-09-01","Uber",5,"3-4 мин",2814845
"2025-09-01","Lyft",6,"4-5 мин",922314
"2025-09-01","Uber",6,"4-5 мин",2170032
"2025-09-01","Lyft",7,"5-6 мин",652780
"2025-09-01","Uber",7,"5-6 мин",1495212
"2025-09-01","Lyft",8,"6-8 мин",688111
"2025-09-01","Uber",8,"6-8 мин",1643595
"2025-09-01","Lyft",9,"8-10 мин",283367
"2025-09-01","Uber",9,"8-10 мин",731053
"2025-09-01","Lyft",10,"10-15 мин",210158
"2025-09-01","Uber",10,"10-15 мин",618077
"2025-09-01","Lyft",11,"15-20 мин",42169
"2025-09-01","Uber",11,"15-20 мин",171805
"2025-09-01","Lyft",12,"20-25 мин",10854
"2025-09-01","Uber",12,"20-25 мин",57087
"2025-09-01","Lyft",13,"25-30 мин",3618
"2025-09-01","Uber",13,"25-30 мин",18833
"2025-09-01","Lyft",14,"30+ мин",2947
"2025-09-01","Uber",14,"30+ мин",11254
"2025-10-01","Lyft",1,"0-30 сек",2516
"2025-10-01","Uber",1,"0-30 сек",16818
"2025-10-01","Lyft",2,"30-60 сек",36031
"2025-10-01","Uber",2,"30-60 сек",196587
"2025-10-01","Lyft",3,"1-2 мин",541918
"2025-10-01","Uber",3,"1-2 мин",1477913
"2025-10-01","Lyft",4,"2-3 мин",1019462
"2025-10-01","Uber",4,"2-3 мин",2914052
"2025-10-01","Lyft",5,"3-4 мин",1172121
"2025-10-01","Uber",5,"3-4 мин",3031401
"2025-10-01","Lyft",6,"4-5 мин",972818
"2025-10-01","Uber",6,"4-5 мин",2299718
"2025-10-01","Lyft",7,"5-6 мин",671874
"2025-10-01","Uber",7,"5-6 мин",1605416
"2025-10-01","Lyft",8,"6-8 мин",700807
"2025-10-01","Uber",8,"6-8 мин",1830371
"2025-10-01","Lyft",9,"8-10 мин",291007
"2025-10-01","Uber",9,"8-10 мин",881274
"2025-10-01","Lyft",10,"10-15 мин",224585
"2025-10-01","Uber",10,"10-15 мин",804597
"2025-10-01","Lyft",11,"15-20 мин",47082
"2025-10-01","Uber",11,"15-20 мин",195426
"2025-10-01","Lyft",12,"20-25 мин",12101
"2025-10-01","Uber",12,"20-25 мин",39879
"2025-10-01","Lyft",13,"25-30 мин",3565
"2025-10-01","Uber",13,"25-30 мин",10353
"2025-10-01","Lyft",14,"30+ мин",2411
"2025-10-01","Uber",14,"30+ мин",6742
"2025-11-01","Lyft",1,"0-30 сек",2505
"2025-11-01","Uber",1,"0-30 сек",17055
"2025-11-01","Lyft",2,"30-60 сек",36574
"2025-11-01","Uber",2,"30-60 сек",201840
"2025-11-01","Lyft",3,"1-2 мин",565437
"2025-11-01","Uber",3,"1-2 мин",1515827
"2025-11-01","Lyft",4,"2-3 мин",1099779
"2025-11-01","Uber",4,"2-3 мин",2975034
"2025-11-01","Lyft",5,"3-4 мин",1246048
"2025-11-01","Uber",5,"3-4 мин",3030500
"2025-11-01","Lyft",6,"4-5 мин",999719
"2025-11-01","Uber",6,"4-5 мин",2198904
"2025-11-01","Lyft",7,"5-6 мин",668335
"2025-11-01","Uber",7,"5-6 мин",1459691
"2025-11-01","Lyft",8,"6-8 мин",669937
"2025-11-01","Uber",8,"6-8 мин",1600934
"2025-11-01","Lyft",9,"8-10 мин",266861
"2025-11-01","Uber",9,"8-10 мин",772446
"2025-11-01","Lyft",10,"10-15 мин",196366
"2025-11-01","Uber",10,"10-15 мин",741271
"2025-11-01","Lyft",11,"15-20 мин",39741
"2025-11-01","Uber",11,"15-20 мин",182678
"2025-11-01","Lyft",12,"20-25 мин",9956
"2025-11-01","Uber",12,"20-25 мин",36171
"2025-11-01","Lyft",13,"25-30 мин",2899
"2025-11-01","Uber",13,"25-30 мин",9440
"2025-11-01","Lyft",14,"30+ мин",1899
"2025-11-01","Uber",14,"30+ мин",6285
"2025-12-01","Lyft",1,"0-30 сек",2500
"2025-12-01","Uber",1,"0-30 сек",18595
"2025-12-01","Lyft",2,"30-60 сек",28952
"2025-12-01","Uber",2,"30-60 сек",158349
"2025-12-01","Lyft",3,"1-2 мин",464534
"2025-12-01","Uber",3,"1-2 мин",1260281
"2025-12-01","Lyft",4,"2-3 мин",954957
"2025-12-01","Uber",4,"2-3 мин",2664218
"2025-12-01","Lyft",5,"3-4 мин",1166718
"2025-12-01","Uber",5,"3-4 мин",2948471
"2025-12-01","Lyft",6,"4-5 мин",1019016
"2025-12-01","Uber",6,"4-5 мин",2352981
"2025-12-01","Lyft",7,"5-6 мин",748013
"2025-12-01","Uber",7,"5-6 мин",1705897
"2025-12-01","Lyft",8,"6-8 мин",842994
"2025-12-01","Uber",8,"6-8 мин",2053639
"2025-12-01","Lyft",9,"8-10 мин",379511
"2025-12-01","Uber",9,"8-10 мин",1079096
"2025-12-01","Lyft",10,"10-15 мин",303902
"2025-12-01","Uber",10,"10-15 мин",1142091
"2025-12-01","Lyft",11,"15-20 мин",65684
"2025-12-01","Uber",11,"15-20 мин",309963
"2025-12-01","Lyft",12,"20-25 мин",17070
"2025-12-01","Uber",12,"20-25 мин",57926
"2025-12-01","Lyft",13,"25-30 мин",5321
"2025-12-01","Uber",13,"25-30 мин",13988
"2025-12-01","Lyft",14,"30+ мин",3485
"2025-12-01","Uber",14,"30+ мин",11614
"2026-01-01","Lyft",1,"0-30 сек",2317
"2026-01-01","Uber",1,"0-30 сек",16907
"2026-01-01","Lyft",2,"30-60 сек",30628
"2026-01-01","Uber",2,"30-60 сек",181358
"2026-01-01","Lyft",3,"1-2 мин",516308
"2026-01-01","Uber",3,"1-2 мин",1391987
"2026-01-01","Lyft",4,"2-3 мин",1001122
"2026-01-01","Uber",4,"2-3 мин",2726367
"2026-01-01","Lyft",5,"3-4 мин",1117615
"2026-01-01","Uber",5,"3-4 мин",2734521
"2026-01-01","Lyft",6,"4-5 мин",903313
"2026-01-01","Uber",6,"4-5 мин",2032559
"2026-01-01","Lyft",7,"5-6 мин",621180
"2026-01-01","Uber",7,"5-6 мин",1485734
"2026-01-01","Lyft",8,"6-8 мин",674774
"2026-01-01","Uber",8,"6-8 мин",1862527
"2026-01-01","Lyft",9,"8-10 мин",307143
"2026-01-01","Uber",9,"8-10 мин",1046802
"2026-01-01","Lyft",10,"10-15 мин",272028
"2026-01-01","Uber",10,"10-15 мин",1123585
"2026-01-01","Lyft",11,"15-20 мин",73261
"2026-01-01","Uber",11,"15-20 мин",311405
"2026-01-01","Lyft",12,"20-25 мин",23676
"2026-01-01","Uber",12,"20-25 мин",67030
"2026-01-01","Lyft",13,"25-30 мин",8288
"2026-01-01","Uber",13,"25-30 мин",16888
"2026-01-01","Lyft",14,"30+ мин",6544
"2026-01-01","Uber",14,"30+ мин",12866
"2026-02-01","Lyft",1,"0-30 сек",2198
"2026-02-01","Uber",1,"0-30 сек",15819
"2026-02-01","Lyft",2,"30-60 сек",22763
"2026-02-01","Uber",2,"30-60 сек",116116
"2026-02-01","Lyft",3,"1-2 мин",397904
"2026-02-01","Uber",3,"1-2 мин",960054
"2026-02-01","Lyft",4,"2-3 мин",817259
"2026-02-01","Uber",4,"2-3 мин",2122259
"2026-02-01","Lyft",5,"3-4 мин",1029031
"2026-02-01","Uber",5,"3-4 мин",2461661
"2026-02-01","Lyft",6,"4-5 мин",942700
"2026-02-01","Uber",6,"4-5 мин",2069241
"2026-02-01","Lyft",7,"5-6 мин",720701
"2026-02-01","Uber",7,"5-6 мин",1553881
"2026-02-01","Lyft",8,"6-8 мин",855139
"2026-02-01","Uber",8,"6-8 мин",1924654
"2026-02-01","Lyft",9,"8-10 мин",401241
"2026-02-01","Uber",9,"8-10 мин",1056497
"2026-02-01","Lyft",10,"10-15 мин",328969
"2026-02-01","Uber",10,"10-15 мин",1202466
"2026-02-01","Lyft",11,"15-20 мин",71056
"2026-02-01","Uber",11,"15-20 мин",360607
"2026-02-01","Lyft",12,"20-25 мин",18737
"2026-02-01","Uber",12,"20-25 мин",80016
"2026-02-01","Lyft",13,"25-30 мин",5609
"2026-02-01","Uber",13,"25-30 мин",24694
"2026-02-01","Lyft",14,"30+ мин",3782
"2026-02-01","Uber",14,"30+ мин",21582
"2026-03-01","Lyft",1,"0-30 сек",2318
"2026-03-01","Uber",1,"0-30 сек",17522
"2026-03-01","Lyft",2,"30-60 сек",32427
"2026-03-01","Uber",2,"30-60 сек",167388
"2026-03-01","Lyft",3,"1-2 мин",505832
"2026-03-01","Uber",3,"1-2 мин",1271247
"2026-03-01","Lyft",4,"2-3 мин",1002465
"2026-03-01","Uber",4,"2-3 мин",2550181
"2026-03-01","Lyft",5,"3-4 мин",1179938
"2026-03-01","Uber",5,"3-4 мин",2703927
"2026-03-01","Lyft",6,"4-5 мин",1007581
"2026-03-01","Uber",6,"4-5 мин",2144316
"2026-03-01","Lyft",7,"5-6 мин",725367
"2026-03-01","Uber",7,"5-6 мин",1630150
"2026-03-01","Lyft",8,"6-8 мин",809567
"2026-03-01","Uber",8,"6-8 мин",2109492
"2026-03-01","Lyft",9,"8-10 мин",364946
"2026-03-01","Uber",9,"8-10 мин",1231869
